filename, level_0, level_1, level_2, normal
levle0_55_jpg.rf.145ac932a91f6c8ab0d0b4910aacbe7d.jpg, 1, 0, 0, 0
download2_jpg.rf.0f254af1b136cf41737196acdbd293a2.jpg, 0, 0, 0, 1
levle2_120-Copy_jpg.rf.1bb0447f7ade073064fc2141dcab5d4e.jpg, 0, 0, 1, 0
levle1_391_jpg.rf.1a0b7593a6c597b755e17feef76156bc.jpg, 0, 1, 0, 0
1-1093-a_jpg.rf.07979ca48e12e5cbbcc0381f5e0eacb5.jpg, 0, 0, 0, 1
levle0_49_jpg.rf.0f9f0a1ee565869e0745c02df1e7323c.jpg, 1, 0, 0, 0
jjj5_jpg.rf.010e80f9b1df6ad257867e59f28eb0f8.jpg, 0, 0, 0, 1
20154_jpg.rf.04d04e6fd8b11289f49ac26332e7d64a.jpg, 0, 0, 0, 1
kkk1_jpg.rf.0bb8b1c03fa457aaf93befbae6b353db.jpg, 0, 0, 0, 1
images-3-_jpg.rf.0becbfcb096b74183e723af3ee358457.jpg, 0, 0, 0, 1
levle0_38_jpg.rf.194d4dbce47cf8a8f7a74f6861fdfda3.jpg, 1, 0, 0, 0
levle1_124q_jpg.rf.11028b838a76294a53b4f58fc94b5bf8.jpg, 0, 1, 0, 0
levle1_365_jpg.rf.133fb34f31c3ce0b86850fc43e9a7fbe.jpg, 0, 1, 0, 0
levle1_216a_jpg.rf.1485e27a6fdc4473487466f5ceae4b2e.jpg, 0, 1, 0, 0
levle2_125_jpg.rf.139ccc9dfe31142a7a74cbcbf98d400a.jpg, 0, 0, 1, 0
levle0_41_jpg.rf.15291d7658791d7c8e09a3b804cf1450.jpg, 1, 0, 0, 0
levle2_56_jpg.rf.091bcaa6fff379a6b3d5c851c2e7dfbd.jpg, 0, 0, 1, 0
4655y_jpg.rf.17e72eec2180e1bf8f25ade242efb1e7.jpg, 0, 0, 0, 1
levle0_140_jpg.rf.0bca24211e70182c1e700bc40dd97c7d.jpg, 1, 0, 0, 0
levle1_530a_jpg.rf.17c5ae0fb47ccbe12647d7fb2db1ce2a.jpg, 0, 1, 0, 0
levle1_177b_jpg.rf.09151ba1f854215cea2ad8f62d8a122c.jpg, 0, 1, 0, 0
levle2_115_jpg.rf.1ed811d8303dfc38bfbfa95b2b7f3256.jpg, 0, 0, 1, 0
levle3_118_jpg.rf.219d8676c2ceec2c1ee5acdee3294177.jpg, 0, 0, 1, 0
levle0_70_jpg.rf.1cd9eae0e71693a89fbcb61d0582299c.jpg, 1, 0, 0, 0
33333a_jpg.rf.1f3f95dff95f62242059b117f12d5819.jpg, 0, 0, 0, 1
kl47_jpg.rf.10bbe20126a7b3c1828c39c4eb2e3576.jpg, 0, 0, 0, 1
levle0_34_jpg.rf.0d5eea39b92a19cbee3ec9534d48c3c5.jpg, 1, 0, 0, 0
levle0_40_jpg.rf.14bd1ab337df51211c17774a872081e0.jpg, 1, 0, 0, 0
assdf5_jpg.rf.04e4e64092b0a8426f47945b74b8f4dc.jpg, 0, 0, 0, 1
levle0_13_jpg.rf.21d4151d602af071a95a6b6b64f1ce7b.jpg, 1, 0, 0, 0
iu4_jpg.rf.22821fb9a4946501547ddec240d3ca7e.jpg, 0, 0, 0, 1
download2_jpg.rf.241af62f4a5cbbb7058abb4d270f504e.jpg, 0, 0, 0, 1
images-2-_jpg.rf.241c136c2213ced4cbff55f6af387557.jpg, 0, 0, 0, 1
levle3_83_jpg.rf.247fda369528b64dbfba511216310cc6.jpg, 0, 0, 1, 0
qwwe1_jpg.rf.26592fc3127ef4ca4b121ca993480d21.jpg, 0, 0, 0, 1
levle0_159_jpg.rf.28c5e0fee747fe193d1016d516027cf2.jpg, 1, 0, 0, 0
